name,partisan_score,hashtags
Nancy Pelosi,0,"{'FutureIsProgressive', 'ABetterDeal'}"
Nancy Pelosi,0,"{'FutureIsProgressive', 'ABetterDeal'}"
Susan W. Brooks,1,"{'Hoosiers', 'JakeStrong'}"
Nancy Pelosi,0,"{'FutureIsProgressive', 'ABetterDeal'}"
Brenda Lawrence,0,{'BrusselsForum'}
Nancy Pelosi,0,{'FutureIsProgressive'}
Joyce Beatty,0,{'SaveOurCities'}
Darin LaHood,1,"{'taxreform', 'TaxCutsandJobsAct'}"
Nancy Pelosi,0,"{'FutureIsProgressive', 'ABetterDeal'}"
John Garamendi,0,{'Yountville'}
Brian Higgins,0,{'lungcancer'}
Mario Diaz-Balart,1,{'Immokalee'}
Michael McCaul,1,{'Texas'}
Rosa DeLauro,0,{'ACA'}
Mario Diaz-Balart,1,{'WhatAboutBob'}
Mark Meadows,1,{'FollowFriday'}
Lloyd Doggett,0,{'NoTaxBreaks4Outsourcing'}
Adam Kinzinger,1,"{'taxreform', 'TaxCutsandJobsAct'}"
Adam Kinzinger,1,"{'WhatAboutBob', 'Iran'}"
Seth Moulton,0,"{'ma6', 'mapoli'}"
Steve Scalise,1,{'TaxCutsandJobsAct'}
Seth Moulton,0,{'PA18'}
Nancy Pelosi,0,{'GOPTaxScam'}
Marcy Kaptur,0,{'GOPTaxScam'}
Rosa DeLauro,0,{'GOPTaxScam'}
Sheila Jackson Lee,0,{'Metoomovement'}
Will Hurd,1,{'SXSW'}
Richard Hudson,1,"{'sogood', 'SouthernAngelDonutCo'}"
Will Hurd,1,{'MexicoGotMeThinking'}
José E. Serrano,0,"{'HappeningNow', 'PuertoRico', 'Somos2018'}"
Eliot Engel,0,{'FDNY'}
Will Hurd,1,{'SXSW'}
Lloyd Doggett,0,{'NoTaxBreaks4Outsourcing'}
Will Hurd,1,{'EUatSXSW'}
Alcee L. Hastings,0,{'MIOSM'}
Steve Cohen,0,"{'Tariff', 'stormy', 'StableGenius', 'Impeach45', 'SteelTariffs', 'Trump'}"
Nancy Pelosi,0,{'SunshineWeek'}
Robin Kelly,0,{'gunviolence'}
Brian Higgins,0,"{'oralparity', 'HR1409'}"
Adam Kinzinger,1,{'GlobalPodcast'}
Kevin McCarthy,1,{'TaxReform'}
Joyce Beatty,0,{'WomensHistoryMonth'}
Richard Hudson,1,"{'WNC', 'ncwx'}"
Tom Reed,1,{'TaxCutsandJobsAct'}
Sean Patrick Maloney,0,{'MiddayMagazine'}
Katherine Clark,0,{'InfrastructureScam'}
Bill Foster,0,{'InfrastructureScam'}
Susan W. Brooks,1,{'TaxCutsandJobsAct'}
Tom Reed,1,{'TaxCutsandJobsAct'}
Jeff Fortenberry,1,{'Bellevue'}
Joaquin Castro,0,"{'POTUS', 'Russia', 'Putin', 'NeverAgain'}"
Sean Patrick Maloney,0,{'gunviolence'}
Hakeem Jeffries,0,{'ABetterDeal'}
Mark DeSaulnier,0,{'SunshineWeek'}
Nancy Pelosi,0,{'NationalNappingDay'}
Joaquin Castro,0,{'AustinPD'}
Joaquin Castro,0,{'Russia'}
Nancy Pelosi,0,{'FollowTheFacts'}
Joaquin Castro,0,{'Russia'}
Robin Kelly,0,{'WomensHistoryMonth'}
Joaquin Castro,0,{'Mueller'}
Joaquin Castro,0,"{'Sessions', 'HopeHicks', 'Bannon'}"
Joaquin Castro,0,{'Russia'}
Joaquin Castro,0,{'FollowTheFacts'}
Hakeem Jeffries,0,{'FakeCabinet'}
Ann Wagner,1,{'TaxCutsandJobsAct'}
Ann Wagner,1,{'TaxCutsandJobsAct'}
Mario Diaz-Balart,1,"{'democracy', 'humanrights'}"
Blaine Luetkemeyer,1,{'MO03'}
Ted Yoho,1,{'trade'}
Jackie Speier,0,{'RexTillerson'}
Mike Quigley,0,{'investigation'}
Seth Moulton,0,{'November6th'}
Dina Titus,0,"{'OnlyInDistrict1', 'SMM2018'}"
Albio Sires,0,"{'Trump', 'Tillerson'}"
Bill Johnson,1,{'AskBillJohnson'}
Joyce Beatty,0,{'PLC2018'}
Adam Kinzinger,1,"{'AmeriCorpsWeek', 'GettingThingsDone'}"
Gus Bilirakis,1,{'PascoCounty'}
Gus Bilirakis,1,{'PascoProud'}
Joe Wilson,1,{'AskJoeWilson'}
Marcy Kaptur,0,{'DoddFrankRollback'}
Nancy Pelosi,0,"{'SunshineWeek', 'TrumpPutin', 'TrumpRussia'}"
Scott DesJarlais,1,{'foodservice'}
Mario Diaz-Balart,1,{'Pompeo'}
Joaquin Castro,0,{'Russia'}
Louie Gohmert,1,"{'MikePompeo', 'RexTillerson'}"
Bill Johnson,1,{'AskBillJohnson'}
Scott DesJarlais,1,{'BorderSecurity'}
Hakeem Jeffries,0,{'ABetterDeal'}
Brian Babin,1,{'Texan'}
Steve Scalise,1,{'RightToTry'}
Joaquin Castro,0,{'SB4'}
Joaquin Castro,0,{'DeadlineWH'}
Louie Gohmert,1,"{'MikePompeo', 'RexTillerson'}"
Louie Gohmert,1,"{'ICYMI', 'RexTillerson'}"
Steve Cohen,0,"{'Trump', 'TrumpRussia'}"
Steve Cohen,0,{'Jewish'}
Earl Blumenauer,0,{'PA18'}
Seth Moulton,0,{'PA18'}
Thomas Massie,1,{'nerdpride'}
Seth Moulton,0,{'PA18'}
Seth Moulton,0,{'PA18'}
James E. Clyburn,0,"{'demandaction', 'NeverAgain', 'GunReformNow'}"
Eliot Engel,0,{'presadvocacy18'}
Lloyd Doggett,0,{'ParklandShooting'}
Richard Hudson,1,{'SubEnergy'}
Judy Chu,0,"{'NationalWalkOutDay', 'gunviolence'}"
José E. Serrano,0,"{'StoptheNRA', 'NationalWalkoutDay', 'ParklandSchoolShooting', 'EndGunViolenceNow'}"
Brian Higgins,0,"{'Parkland', 'ParklandStrong'}"
Joyce Beatty,0,"{'NotOneMore', 'NationalSchoolWalkout'}"
Brian Higgins,0,{'GrandIsland'}
Kathleen Rice,0,"{'NationalWalkoutDay', 'EnoughIsEnough'}"
John Garamendi,0,{'CoastGuard'}
Nancy Pelosi,0,"{'NeverAgain', 'EnoughIsEnoughDMV'}"
Mark DeSaulnier,0,{'cancerresearch'}
Nancy Pelosi,0,"{'EndGunViolence', 'NeverAgain', 'EnoughIsEnoughDMV'}"
Joe Wilson,1,{'AskJoeWilson'}
Nancy Pelosi,0,{'WalkoutWednesday'}
Mark DeSaulnier,0,{'ACCCHillDay'}
Joaquin Castro,0,"{'NationalWalkoutDay', 'Americans'}"
Justin Amash,1,{'HR4909'}
Joaquin Castro,0,{'Democrats'}
Joaquin Castro,0,"{'Republicans', 'Russia'}"
Joaquin Castro,0,{'Japan'}
Joaquin Castro,0,"{'Japan', 'SanAntonio', 'Texas'}"
Joaquin Castro,0,{'Japan'}
