name,partisan_score,hashtags
Joaquin Castro,0,{'FutureCaucus'}
Sheila Jackson Lee,0,{'RussiaCollusion'}
Nancy Pelosi,0,{'MAGA'}
Mike Kelly,1,{'auspol'}
Joaquin Castro,0,{'IGReport'}
Seth Moulton,0,{'EidMubarak'}
Susan W. Brooks,1,{'SubOversight'}
Judy Chu,0,{'Dreamers'}
Mike Quigley,0,{'SinclairTribuneMerger'}
Nancy Pelosi,0,{'ProtectDREAMers'}
Rosa DeLauro,0,"{'DACAversary', 'dreamers'}"
Judy Chu,0,{'EidMubarak'}
Suzanne Bonamici,0,"{'DACA', 'Dreamers'}"
Joyce Beatty,0,"{'SayWhat', 'OCCNoColor'}"
Scott DesJarlais,1,{'Resistance'}
Grace Meng,0,{'DACA'}
Rosa DeLauro,0,"{'ICYMI', 'HartfordLine'}"
Jeff Fortenberry,1,{'SmallBusiness'}
Mark Takano,0,{'FamiliesBelongTogether'}
Steve Cohen,0,"{'Trump', 'Comey'}"
Suzanne Bonamici,0,{'WEAAD18'}
Joyce Beatty,0,"{'ProtectDreamers', 'DACA'}"
Steve Scalise,1,{'CrisisNextDoor'}
Steve Cohen,0,"{'Trump', 'OIGReport'}"
Mario Diaz-Balart,1,"{'colombiadecide', 'Colombia'}"
Mario Diaz-Balart,1,"{'Colombia', 'ColombiaDecide'}"
Louie Gohmert,1,{'IGReport'}
Lloyd Doggett,0,{'FamiliesBelongTogether'}
Dina Titus,0,{'KeepFamiliesTogetherAct'}
Dina Titus,0,{'KeepFamiliesTogetherAct'}
Dina Titus,0,{'KeepFamiliesTogetherAct'}
Rosa DeLauro,0,{'PhotosoftheWeek'}
Suzanne Bonamici,0,{'EndFamilySeparation'}
Steve Scalise,1,{'CongressionalBaseballGame'}
Eliot Engel,0,{'FathersDay'}
Scott DesJarlais,1,{'ConflictedCounsel'}
Hakeem Jeffries,0,"{'TheElizabethSeven', 'KeepingFamiliesTogether'}"
Eliot Engel,0,{'FathersDay'}
Lloyd Doggett,0,{'DreamActNow'}
Steve Scalise,1,{'PhotosoftheWeek'}
Albio Sires,0,{'FathersDay'}
Adam Kinzinger,1,"{'FathersDay', 'dadjokes'}"
Brenda Lawrence,0,{'FathersDay'}
Dina Titus,0,{'KeepFamiliesTogether'}
Albio Sires,0,{'ICE'}
Joaquin Castro,0,{'FathersDay'}
Rob Woodall,1,{'FathersDay'}
Albio Sires,0,{'FamiliesBelongTogether'}
Katherine Clark,0,{'FathersDay'}
Louie Gohmert,1,{'FathersDay'}
Sheila Jackson Lee,0,"{'FathersDayOfAction', 'NotInMyName'}"
Sheila Jackson Lee,0,"{'KeepFamiliesTogether', 'FathersDayofAction', 'NotInMyName'}"
Adam Schiff,0,"{'FathersDay', 'FamiliesBelongTogether'}"
Scott DesJarlais,1,{'JustCause'}
Mario Diaz-Balart,1,"{'Colombia', 'ColombiaDecide'}"
Mario Diaz-Balart,1,{'ColombiaDecide'}
Matt Cartwright,0,{'KeepFamiliesTogether'}
Joaquin Castro,0,"{'StopTheInhumanity', 'FamilesBelongTogether'}"
Joyce Beatty,0,{'CbusPride'}
Alcee L. Hastings,0,{'FamilySeparation'}
Joaquin Castro,0,{'FamiliesBelongTogether'}
Joaquin Castro,0,{'FamiliesBelongTogether'}
Judy Chu,0,{'KeepFamiliesTogether'}
Joaquin Castro,0,{'FamiliesBelongTogether'}
Jackie Speier,0,{'Armenia'}
Judy Chu,0,{'LIVE'}
Nancy Pelosi,0,{'KeepFamiliesTogether'}
Nancy Pelosi,0,{'FamiliesBelongTogether'}
Suzanne Bonamici,0,{'FamiliesBelongTogether'}
Joaquin Castro,0,{'Hardball'}
Nancy Pelosi,0,{'FamiliesBelongTogether'}
Joaquin Castro,0,{'Hardball'}
Joaquin Castro,0,{'immigrantchildren'}
Steve King,1,{'NoAmnesty'}
Mike Quigley,0,{'climate'}
Hakeem Jeffries,0,{'ABetterDeal'}
Joe Wilson,1,{'ROK'}
Seth Moulton,0,"{'SCOTUS', 'gerrymandering', 'Gill'}"
Katherine Clark,0,{'GOP'}
Eliot Engel,0,{'FamiliesBelongTogether'}
Mike Quigley,0,{'KeepFamilesTogether'}
Bennie G. Thompson,0,{'Juneteenth'}
Bennie G. Thompson,0,"{'BlackFact', 'Juneteenth'}"
Adam Kinzinger,1,{'immigration'}
Denny Heck,0,{'OTD'}
Susan W. Brooks,1,{'opioidcrisis'}
Nancy Pelosi,0,{'FamiliesBelongTogether'}
Rosa DeLauro,0,{'FamiliesBelongTogether'}
Marcy Kaptur,0,{'KeepFamilesTogether'}
Bill Foster,0,"{'sicklecell', 'WorldSickleCellDay'}"
José E. Serrano,0,{'FamilesBelongTogether'}
James E. Clyburn,0,{'Juneteenth'}
Nancy Pelosi,0,{'FamiliesBelongTogether'}
Nancy Pelosi,0,{'FamiliesBelongTogether'}
Nancy Pelosi,0,{'KeepFamiliesTogether'}
Bill Johnson,1,"{'Budget', 'BrighterAmericanFuture'}"
Michael McCaul,1,{'Juneteenth2018'}
Brenda Lawrence,0,{'ICYMI'}
Earl Blumenauer,0,{'FamiliesBelongTogether'}
Mike Quigley,0,"{'KeepFamiliesTogether', 'immigration'}"
Brian Higgins,0,{'OTD'}
Suzanne Bonamici,0,{'KeepFamiliesTogetherAct'}
Brenda Lawrence,0,{'AGSessions'}
Mark Walker,1,{'OTD'}
Albio Sires,0,{'FamiliesBelongTogether'}
Richard Hudson,1,{'opioidcrisis'}
Alcee L. Hastings,0,{'AGSessions'}
Sean Patrick Maloney,0,{'Junteenth'}
Kathleen Rice,0,{'KeepFamiliesTogether'}
Robin Kelly,0,{'KeepFamiliesTogetherAct'}
Eliot Engel,0,{'KeepFamiliesTogetherAct'}
Robin Kelly,0,{'GOPBudget'}
Earl Blumenauer,0,"{'FamiliesBelongTogether', 'Juneteenth'}"
Joaquin Castro,0,{'FamiliesBelongTogether'}
Mario Diaz-Balart,1,"{'Israel', 'humanrights', 'HumanRights'}"
Jeff Fortenberry,1,{'DrugTrafficking'}
Brenda Lawrence,0,"{'MLK', 'NegroSpiritual'}"
John Garamendi,0,{'KeepFamilesTogether'}
Hakeem Jeffries,0,{'KeepFamiliesTogether'}
Jeff Fortenberry,1,{'CHIP'}
Katherine Clark,0,{'womensrightsarehumanrights'}
Seth Moulton,0,{'Juneteenth'}
Eliot Engel,0,"{'HomelandSecurity', 'AUDIO'}"
Jeff Fortenberry,1,{'China'}
Mario Diaz-Balart,1,"{'19Abr', 'Ortega', 'Nicaragua'}"
Joaquin Castro,0,{'FamiliesBelongTogether'}
Mike Kelly,1,{'TAFEs'}
Susan W. Brooks,1,{'OpioidCrisis'}
Robin Kelly,0,{'NTDAW2017'}
Joaquin Castro,0,"{'FamiliesBelongTogether', 'BorderWall', 'KeepFamiliesTogether'}"
Joaquin Castro,0,"{'FamiliesBelongTogether', 'BorderWall', 'KeepFamiliesTogether'}"
Seth Moulton,0,{'KeepFamiliesTogether'}
Joaquin Castro,0,"{'FamiliesBelongTogether', 'KeepFamiliesTogether'}"
Joe Wilson,1,{'SingaporeSummit'}
Albio Sires,0,{'KeepFamiliesTogetherAct'}
Richard Hudson,1,{'NationalAmericanEagleDay'}
Hakeem Jeffries,0,{'ABetterDeal'}
Susan W. Brooks,1,"{'spectrum', 'RaceTo5G'}"
Adam Kinzinger,1,"{'KeystoneState', 'NuclearMatters', 'SubEnergy', 'NUKEAct'}"
Michael McCaul,1,{'TheStory'}
Joaquin Castro,0,"{'FamiliesBelongTogether', 'KeepFamiliesTogether'}"
Mario Diaz-Balart,1,"{'WorldRefugeeDay', 'WRD2018'}"
Bobby L. Rush,0,"{'KeepFamilesTogether', 'FamiliesBelongTogether'}"
Brenda Lawrence,0,{'WorldRefugeeDay'}
Sheila Jackson Lee,0,"{'WorldRefugeeDay2018', 'RefugeesWelcome'}"
Tom Graves,1,{'TaxReform'}
Robin Kelly,0,"{'KeepFamilesTogether', 'FamilesBelongTogether', 'IL02Proud'}"
Nancy Pelosi,0,{'FamiliesBelongTogether'}
Bill Johnson,1,"{'NFIB75', 'SmallBiz', 'OH6'}"
Grace Meng,0,"{'KeepFamiliesTogetherAct', 'FamiliesBelongTogether'}"
Alcee L. Hastings,0,{'KeepFamiliesTogetherAct'}
Hakeem Jeffries,0,{'KeepFamiliesTogether'}
Katherine Clark,0,"{'reproductiverights', 'HumanRights'}"
Matt Cartwright,0,"{'FamiliesBelongTogether', 'HumanRights', 'KeepFamiliesTogether'}"
Mario Diaz-Balart,1,{'time2deliver'}
Katherine Clark,0,"{'womenrights', 'HumanRights'}"
Alcee L. Hastings,0,"{'FamilySeparation', 'AGSessions'}"
Rosa DeLauro,0,{'FamiliesBelongTogether'}
Alcee L. Hastings,0,{'KeepFamiliesTogetherAct'}
Jeff Fortenberry,1,{'appropriations'}
Brenda Lawrence,0,{'KeepFamiliesTogetherAct'}
Mike Quigley,0,{'FamiliesBelongTogether'}
Mike Quigley,0,{'FamiliesBelongTogether'}
Mike Quigley,0,{'FamiliesBelongTogether'}
Mike Quigley,0,"{'FamiliesBelongTogether', 'DHS'}"
Mike Quigley,0,"{'Appropriations', 'FamiliesBelongTogether'}"
Rosa DeLauro,0,"{'GOPBudget', 'GOPTaxScam'}"
James E. Clyburn,0,{'KeepFamiliesTogether'}
Mario Diaz-Balart,1,"{'BrotherstotheRescue', 'NatSec'}"
Sheila Jackson Lee,0,{'KeepFamiliesTogetherAct'}
Kathleen Rice,0,{'WorldRefugeesDay'}
Steve Cohen,0,{'PoorPeoplesCampaign'}
Bennie G. Thompson,0,{'PoorPeoplesCampaign'}
Joaquin Castro,0,{'KeepFamiliesTogether'}
Joaquin Castro,0,{'KeepFamiliesTogether'}
Sheila Jackson Lee,0,"{'NotInMyName', 'ikneel'}"
Albio Sires,0,"{'WorldRefugeeDay', 'KeepFamiliesTogether'}"
Katherine Clark,0,{'CongressionalSoftballGame'}
Tom Emmer,1,{'STEM'}
Joyce Beatty,0,{'BadNewsBabes'}
Jeff Fortenberry,1,{'HealthCare'}
Katherine Clark,0,"{'fightcancer', 'TeamCongress', 'CongressionalSoftballGame'}"
Denny Heck,0,"{'refugees', 'WithRefugees', 'WRD2018'}"
Steve Cohen,0,"{'ExecutiveOrder', 'ChildInternmentCamps', 'Children', 'Parents', 'Democrats', 'FamilySeparation', 'LiarInChief', 'Trumps'}"
Grace Meng,0,{'FreeMrYou'}
José E. Serrano,0,{'immigrants'}
Dina Titus,0,{'GoKnightsGo'}
Michael McCaul,1,{'Trump'}
Steve Stivers,1,{'Civility'}
Joyce Beatty,0,{'Civility'}
Bobby L. Rush,0,{'treataddictionsavelives'}
Louie Gohmert,1,{'IGReport'}
Susan W. Brooks,1,{'opioidcrisis'}
Mike Quigley,0,{'election'}
Mike Quigley,0,{'tech'}
Mike Quigley,0,"{'Election', 'cybersecurity', 'Hacking'}"
Nancy Pelosi,0,{'GOPTaxScam'}
Nancy Pelosi,0,{'DREAMAct'}
André Carson,0,"{'Trump', 'rail'}"
Nancy Pelosi,0,{'FamiliesBelongTogether'}
Bobby L. Rush,0,{'KeepFamiliesTogether'}
Bobby L. Rush,0,{'KeepFamiliesTogether'}
Brenda Lawrence,0,{'WhereAreTheGirls'}
Earl Blumenauer,0,{'GOPFarmBill'}
Nancy Pelosi,0,{'GOPTaxScam'}
Nancy Pelosi,0,"{'ProtectOurCare', 'GOPTaxScam'}"
Sheila Jackson Lee,0,{'WRD2018'}
Sheila Jackson Lee,0,{'WhereAreTheGirls'}
Scott DesJarlais,1,{'Adulting'}
Alcee L. Hastings,0,{'NationalASKDay'}
Nancy Pelosi,0,"{'PBC', 'ACA'}"
Bill Foster,0,{'SCOTUS'}
Joaquin Castro,0,"{'KeepFamliesTogether', 'FamilesBelongTogether'}"
Virginia Foxx,1,{'TaxCutsandJobsAct'}
Joaquin Castro,0,"{'FamiliesBelongTogether', 'KeepFamiliesTogether'}"
Robin Kelly,0,{'OTD'}
Nancy Pelosi,0,{'ProtectOurCare'}
Joaquin Castro,0,{'TrumpKimSummit'}
Joaquin Castro,0,"{'BorderWall', 'Dreamers', 'KeepFamiliesTogether'}"
Nancy Pelosi,0,"{'KeepFamliesTogether', 'ProtectOurCare'}"
David Rouzer,1,{'2018FarmBill'}
David Rouzer,1,"{'NC07', 'FarmBill'}"
Susan W. Brooks,1,{'2018FarmBill'}
Tom Graves,1,{'FarmBill'}
Tom Graves,1,{'FarmBill'}
Jeff Fortenberry,1,{'FarmBill'}
Tom Graves,1,"{'FarmBill', 'Georgia'}"
Tom Graves,1,{'FarmBill'}
Sheila Jackson Lee,0,{'RestoreTheVOTE'}
Joe Wilson,1,{'2018FarmBill'}
Martha Roby,1,{'2018FarmBill'}
Doug Collins,1,{'FarmBill'}
Bobby L. Rush,0,"{'HandsOffSNAP', 'ProtectSNAP', 'FarmBill'}"
Tom Reed,1,{'ICYMI'}
Scott DesJarlais,1,{'2018FarmBill'}
Seth Moulton,0,{'EndGunViolence'}
Scott DesJarlais,1,"{'SNAP', 'FarmBill'}"
Robin Kelly,0,"{'MaternalMortality', 'EndMaternalMortality'}"
Nancy Pelosi,0,{'ACA'}
Grace Meng,0,{'KeepFamiliesTogether'}
Rosa DeLauro,0,"{'FarmBill', 'GOP'}"
Jackie Speier,0,{'MeToo'}
Sheila Jackson Lee,0,{'ProtectOurCare'}
Louie Gohmert,1,{'immigration'}
Sheila Jackson Lee,0,{'WhereAreTheGirls'}
Eliot Engel,0,{'KeepFamiliesTogether'}
Eliot Engel,0,{'KeepFamiliesTogether'}
Sheila Jackson Lee,0,"{'refugee', 'notinmyname', 'immigration'}"
Joyce Beatty,0,"{'Cheers', 'FarmBill'}"
Sheila Jackson Lee,0,"{'immigrant', 'Refugees', 'ikneel'}"
David Rouzer,1,{'TaxReform'}
Richard Hudson,1,"{'OpioidCrisis', 'CrisisNextDoor'}"
Nancy Pelosi,0,"{'ProtectOurCare', 'GOPTaxScam'}"
James E. Clyburn,0,{'GOPTaxScam'}
James E. Clyburn,0,{'GOPTaxScam'}
Katherine Clark,0,{'opioidcrisis'}
Katherine Clark,0,"{'EPCSAct', 'Medicare'}"
Katherine Clark,0,"{'opioidepidemic', 'EPCSAct'}"
Marcy Kaptur,0,{'KeepFamiliesTogether'}
Ken Calvert,1,{'AbolishICE'}
Mark Walker,1,{'TaxReform'}
Matt Cartwright,0,{'organdonation'}
Raul Ruiz,0,{'Democrats'}
Brenda Lawrence,0,{'Democrats'}
David Rouzer,1,"{'opioidcrisis', 'HR6'}"
Scott DesJarlais,1,"{'BorderSecurity', 'TaxReform', 'FakeNews', 'StrongDefense', 'WereOnTheCase'}"
Steve Scalise,1,{'TaxCutsandJobsAct'}
Bill Johnson,1,"{'taxreform', 'TaxCutsandJobsAct'}"
Jaime Herrera Beutler,1,{'opioidcrisis'}
Tom Graves,1,{'FarmBill'}
Ann Wagner,1,{'OpioidCrisis'}
Kevin McCarthy,1,{'2018FarmBill'}
Kevin McCarthy,1,{'opioid'}
Susan W. Brooks,1,{'opioidcrisis'}
Mario Diaz-Balart,1,"{'Cuba', 'ArielRuizUrquiola', 'HuelgaDeHambre'}"
Grace Meng,0,{'KeepFamiliesTogether'}
Michael McCaul,1,{'TexasIndependence'}
Joaquin Castro,0,{'Tornillo'}
Kathleen Rice,0,{'Tornillo'}
Grace Meng,0,{'KeepFamiliesTogether'}
Kathleen Rice,0,{'Tornillo'}
Mike Kelly,1,{'Labyrinth'}
Dina Titus,0,{'ICYMI'}
Michael McCaul,1,{'immigration'}
Jackie Speier,0,{'BorderChildren'}
Mario Diaz-Balart,1,"{'SFL', 'TWISF', 'immigration'}"
John Garamendi,0,{'BREAKING'}
John Garamendi,0,{'BREAKING'}
Bobby L. Rush,0,{'GOPTaxScam'}
Lloyd Doggett,0,{'EndFamilySeparation'}
Sean Patrick Maloney,0,{'SeparationOfFamilies'}
Bobby L. Rush,0,{'ProtectOurCare'}
Joaquin Castro,0,{'GOPTaxScam'}
Mario Diaz-Balart,1,"{'URURUS', 'WorldCup'}"
Seth Moulton,0,{'NY19'}
Dina Titus,0,{'1October'}
Kevin McCarthy,1,{'TaxCutsandJobsAct'}
Mike Quigley,0,"{'RestoreTheVOTE', 'VotingRights'}"
Rosa DeLauro,0,{'KeepFamiliesTogether'}
Scott DesJarlais,1,{'LiberalBullies'}
Rosa DeLauro,0,{'FamiliesBelongTogether'}
Bennie G. Thompson,0,{'RestoreTheVOTE'}
Eliot Engel,0,{'RestoreTheVOTE'}
Sheila Jackson Lee,0,{'RestoreTheVOTE'}
Jeff Fortenberry,1,{'NationalSecurity'}
Alcee L. Hastings,0,{'RestoreTheVOTE'}
Alcee L. Hastings,0,{'RestoreTheVOTE'}
John Lewis,0,{'RestoreTheVRA'}
James E. Clyburn,0,"{'RestoreTheVRA', 'SCOTUS', 'RestoreTheVote'}"
Earl Blumenauer,0,"{'FamiliesBelongTogether', 'KeepFamiliesTogether'}"
Alcee L. Hastings,0,{'RestoreTheVOTE'}
Brenda Lawrence,0,{'RestoreTheVOTE'}
Nancy Pelosi,0,{'RestoreTheVote'}
Jeff Fortenberry,1,{'vets'}
Ken Calvert,1,{'TaxReform'}
Louie Gohmert,1,{'Congress'}
Suzanne Bonamici,0,{'KeepFamiliesTogether'}
Richard Hudson,1,{'BlueWaterNavy'}
Thomas Massie,1,{'liberaltarians'}
Mike Kelly,1,{'auspol'}
Louie Gohmert,1,{'immigration'}
Steve King,1,{'NoAmnesty'}
Suzanne Bonamici,0,"{'workingfamilies', 'FLSA'}"
John Garamendi,0,{'Immigration'}
John Garamendi,0,{'PawneeFire'}
Earl Blumenauer,0,"{'NoMuslimBanEver', 'SCOTUS', 'MuslimBan'}"
Mark Takano,0,"{'wewillnotbebanned', 'MuslimBan'}"
Kathleen Rice,0,{'SCOTUS'}
Joaquin Castro,0,"{'DACA', 'MuslimBan'}"
Mike Rogers,1,"{'GiveFreeSpeechLife', 'NIFLA', 'AL03'}"
Joe Wilson,1,{'TaxReform'}
Steve Cohen,0,"{'House', 'Justice', 'Russia', 'Rosenstein', 'Mueller', 'judiciary', 'Wray', 'FBI', 'Trump'}"
Brenda Lawrence,0,{'ImmigrantFamilies'}
Suzanne Bonamici,0,"{'LGBTQ', 'EqualityForward'}"
Mike Quigley,0,"{'Internet', 'NetNeutrality'}"
Alcee L. Hastings,0,{'LoveWins'}
John Garamendi,0,{'TravelBan'}
Dina Titus,0,"{'SaveTheInternet', 'NetNeutrality'}"
Eliot Engel,0,"{'NIFLAvBecerra', 'endthelies'}"
Lloyd Doggett,0,{'NetNeutrality'}
Sheila Jackson Lee,0,"{'SaveTheInternet', 'NetNeutrality'}"
Bill Foster,0,"{'LGBTQ', 'SCOTUS', 'LoveWins', 'EqualityForward'}"
Mark Takano,0,"{'NIFLAvBecerra', 'EndTheLies'}"
Adam Kinzinger,1,{'BOLDAlzheimersAct'}
